Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.01,0.9099999999999999,0.5144056583966486
75% Corpus,8,0.01,symmetric,0.439638354190496
75% Corpus,8,0.31,0.01,0.3454784051433136
75% Corpus,8,0.31,0.31,0.406807931107501
75% Corpus,8,0.31,0.61,0.3876619520926604
75% Corpus,8,0.31,0.9099999999999999,0.4565819268408079
75% Corpus,8,0.31,symmetric,0.3678308073862542
75% Corpus,8,0.61,0.01,0.39669288692236515
75% Corpus,8,0.61,0.31,0.4783445643283126
75% Corpus,8,0.61,0.61,0.45208014597949636
75% Corpus,8,0.61,0.9099999999999999,0.4742023390207642
75% Corpus,8,0.61,symmetric,0.4592543630667131
75% Corpus,8,0.9099999999999999,0.01,0.44156392310037096
75% Corpus,8,0.9099999999999999,0.31,0.5178260110527381
75% Corpus,8,0.9099999999999999,0.61,0.49950841560102677
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.47197584037490004
75% Corpus,8,0.9099999999999999,symmetric,0.49805649962755905
75% Corpus,8,symmetric,0.01,0.38432945301777055
75% Corpus,8,symmetric,0.31,0.4053618407057896
75% Corpus,8,symmetric,0.61,0.4437613485688621
75% Corpus,8,symmetric,0.9099999999999999,0.535706282753545
75% Corpus,8,symmetric,symmetric,0.3888623144458877
75% Corpus,8,asymmetric,0.01,0.38351345707765117
75% Corpus,8,asymmetric,0.31,0.4567740181605761
75% Corpus,8,asymmetric,0.61,0.4536933653872786
75% Corpus,8,asymmetric,0.9099999999999999,0.4661788463186885
75% Corpus,8,asymmetric,symmetric,0.46104334224432675
75% Corpus,9,0.01,0.01,0.4353786173974832
75% Corpus,9,0.01,0.31,0.45969866489598094
75% Corpus,9,0.01,0.61,0.5292308993482278
75% Corpus,9,0.01,0.9099999999999999,0.5268986789801519
75% Corpus,9,0.01,symmetric,0.4398330811723399
75% Corpus,9,0.31,0.01,0.42653449490876333
75% Corpus,9,0.31,0.31,0.4087701168877772
75% Corpus,9,0.31,0.61,0.4775329174324488
75% Corpus,9,0.31,0.9099999999999999,0.5081800516936674
75% Corpus,9,0.31,symmetric,0.4634926342586301
75% Corpus,9,0.61,0.01,0.4399339453925294
75% Corpus,9,0.61,0.31,0.45865215606872006
75% Corpus,9,0.61,0.61,0.45111513083378685
75% Corpus,9,0.61,0.9099999999999999,0.45513376806873407
75% Corpus,9,0.61,symmetric,0.45612285294291854
75% Corpus,9,0.9099999999999999,0.01,0.45039434122306266
75% Corpus,9,0.9099999999999999,0.31,0.4897311369236219
75% Corpus,9,0.9099999999999999,0.61,0.4771318550251374
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4428175423179409
75% Corpus,9,0.9099999999999999,symmetric,0.47209602904097664
75% Corpus,9,symmetric,0.01,0.4117232513572451
75% Corpus,9,symmetric,0.31,0.44452693885252437
75% Corpus,9,symmetric,0.61,0.4652701327055789
75% Corpus,9,symmetric,0.9099999999999999,0.4885905071262452
75% Corpus,9,symmetric,symmetric,0.46401673994926873
75% Corpus,9,asymmetric,0.01,0.3964985102814864
75% Corpus,9,asymmetric,0.31,0.4338065752463139
75% Corpus,9,asymmetric,0.61,0.47670354297778617
75% Corpus,9,asymmetric,0.9099999999999999,0.5259586798103579
75% Corpus,9,asymmetric,symmetric,0.43238457459030843
75% Corpus,10,0.01,0.01,0.38124358987222623
75% Corpus,10,0.01,0.31,0.4187925868637955
75% Corpus,10,0.01,0.61,0.4578542954510879
75% Corpus,10,0.01,0.9099999999999999,0.4778237882754658
75% Corpus,10,0.01,symmetric,0.3990807285778377
75% Corpus,10,0.31,0.01,0.43664610972726425
75% Corpus,10,0.31,0.31,0.4396416666200384
75% Corpus,10,0.31,0.61,0.4806182007589966
75% Corpus,10,0.31,0.9099999999999999,0.47443625775649834
75% Corpus,10,0.31,symmetric,0.4520961519815329
75% Corpus,10,0.61,0.01,0.45155428990411056
75% Corpus,10,0.61,0.31,0.4522477113673764
75% Corpus,10,0.61,0.61,0.4516692697406969
75% Corpus,10,0.61,0.9099999999999999,0.46029801419728145
75% Corpus,10,0.61,symmetric,0.44848652099435604
75% Corpus,10,0.9099999999999999,0.01,0.38916963917338804
75% Corpus,10,0.9099999999999999,0.31,0.4385115337998807
75% Corpus,10,0.9099999999999999,0.61,0.4413828259002953
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.416044989790584
75% Corpus,10,0.9099999999999999,symmetric,0.4562959945357605
75% Corpus,10,symmetric,0.01,0.39156626052388227
75% Corpus,10,symmetric,0.31,0.4106448814670499
75% Corpus,10,symmetric,0.61,0.4630642806522536
75% Corpus,10,symmetric,0.9099999999999999,0.4665704462547233
75% Corpus,10,symmetric,symmetric,0.3917435505610284
75% Corpus,10,asymmetric,0.01,0.36754809599825244
75% Corpus,10,asymmetric,0.31,0.4481611901187061
75% Corpus,10,asymmetric,0.61,0.4637328484228793
75% Corpus,10,asymmetric,0.9099999999999999,0.46665410110306615
75% Corpus,10,asymmetric,symmetric,0.3645192375790535
100% Corpus,2,0.01,0.01,0.321589613793898
100% Corpus,2,0.01,0.31,0.3113096263154085
100% Corpus,2,0.01,0.61,0.3210414867768988
100% Corpus,2,0.01,0.9099999999999999,0.3114912722776642
100% Corpus,2,0.01,symmetric,0.3320065432971584
100% Corpus,2,0.31,0.01,0.3183420251537109
100% Corpus,2,0.31,0.31,0.33085787177565207
100% Corpus,2,0.31,0.61,0.3183420251537108
100% Corpus,2,0.31,0.9099999999999999,0.3247845881054148
100% Corpus,2,0.31,symmetric,0.3299580068386112
100% Corpus,2,0.61,0.01,0.3165594969162217
100% Corpus,2,0.61,0.31,0.3203824569535902
100% Corpus,2,0.61,0.61,0.3208665753611665
100% Corpus,2,0.61,0.9099999999999999,0.3283511557887494
100% Corpus,2,0.61,symmetric,0.3288313684925857
100% Corpus,2,0.9099999999999999,0.01,0.3362175245206902
100% Corpus,2,0.9099999999999999,0.31,0.3304632842999917
100% Corpus,2,0.9099999999999999,0.61,0.3367082193539535
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3271612084410074
100% Corpus,2,0.9099999999999999,symmetric,0.33670821935395356
100% Corpus,2,symmetric,0.01,0.3383783794055318
100% Corpus,2,symmetric,0.31,0.3173011918165292
100% Corpus,2,symmetric,0.61,0.32782895337557383
100% Corpus,2,symmetric,0.9099999999999999,0.3283511557887494
100% Corpus,2,symmetric,symmetric,0.32038245695359013
100% Corpus,2,asymmetric,0.01,0.4164939994549196
100% Corpus,2,asymmetric,0.31,0.4327357257561296
100% Corpus,2,asymmetric,0.61,0.6142797645595133
100% Corpus,2,asymmetric,0.9099999999999999,0.6569795625503556
100% Corpus,2,asymmetric,symmetric,0.5212403187843518
100% Corpus,3,0.01,0.01,0.37515871972564313
100% Corpus,3,0.01,0.31,0.39158897219184796
100% Corpus,3,0.01,0.61,0.413995775516448
100% Corpus,3,0.01,0.9099999999999999,0.40096003275681985
100% Corpus,3,0.01,symmetric,0.41435743108802026
100% Corpus,3,0.31,0.01,0.39320942654790486
100% Corpus,3,0.31,0.31,0.3930997903062328
100% Corpus,3,0.31,0.61,0.36315006591832805
100% Corpus,3,0.31,0.9099999999999999,0.35524609870558166
100% Corpus,3,0.31,symmetric,0.3648028852856979
100% Corpus,3,0.61,0.01,0.37277242132822513
100% Corpus,3,0.61,0.31,0.36774285515106725
100% Corpus,3,0.61,0.61,0.3751392499825621
100% Corpus,3,0.61,0.9099999999999999,0.38207001362888304
100% Corpus,3,0.61,symmetric,0.3908171633523905
100% Corpus,3,0.9099999999999999,0.01,0.3846072115623698
100% Corpus,3,0.9099999999999999,0.31,0.37641046611725465
100% Corpus,3,0.9099999999999999,0.61,0.3810947385416242
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.37641809422846756
100% Corpus,3,0.9099999999999999,symmetric,0.3754129496090644
100% Corpus,3,symmetric,0.01,0.36459581746705466
100% Corpus,3,symmetric,0.31,0.3951165697475629
100% Corpus,3,symmetric,0.61,0.3565824138135529
100% Corpus,3,symmetric,0.9099999999999999,0.3561309817476323
100% Corpus,3,symmetric,symmetric,0.3811562617787829
100% Corpus,3,asymmetric,0.01,0.39614557487733054
100% Corpus,3,asymmetric,0.31,0.4721623719638905
100% Corpus,3,asymmetric,0.61,0.5297511372630684
100% Corpus,3,asymmetric,0.9099999999999999,0.5541531708855943
100% Corpus,3,asymmetric,symmetric,0.44394159822695434
100% Corpus,4,0.01,0.01,0.35574330971953744
100% Corpus,4,0.01,0.31,0.32578606079893885
100% Corpus,4,0.01,0.61,0.3289041145581289
100% Corpus,4,0.01,0.9099999999999999,0.38157310164820923
100% Corpus,4,0.01,symmetric,0.3251625682830483
100% Corpus,4,0.31,0.01,0.34872065069156416
100% Corpus,4,0.31,0.31,0.35820629318723163
100% Corpus,4,0.31,0.61,0.37726742477467967
100% Corpus,4,0.31,0.9099999999999999,0.48625513227525813
100% Corpus,4,0.31,symmetric,0.35594794576426353
100% Corpus,4,0.61,0.01,0.35497055823522516
100% Corpus,4,0.61,0.31,0.35509084502464966
100% Corpus,4,0.61,0.61,0.363614553398295
100% Corpus,4,0.61,0.9099999999999999,0.3906507276936614
100% Corpus,4,0.61,symmetric,0.35956181625696026
100% Corpus,4,0.9099999999999999,0.01,0.3752283790703284
100% Corpus,4,0.9099999999999999,0.31,0.36365120583617777
100% Corpus,4,0.9099999999999999,0.61,0.3887402076454579
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4007156714794253
100% Corpus,4,0.9099999999999999,symmetric,0.3697039532924881
100% Corpus,4,symmetric,0.01,0.3296029205292811
100% Corpus,4,symmetric,0.31,0.3413620062288889
100% Corpus,4,symmetric,0.61,0.3333040308569857
100% Corpus,4,symmetric,0.9099999999999999,0.3981938384817929
